rule_path                                 ,api1                                                                                                                                                                                                                               ,api2                                                                                                                                                                 ,description                                                                     ,label
/mnt/storage/quark-rules/rules/00200.json ,Landroid/content/ContentResolver;query(Landroid/net/Uri; [Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Ljava/lang/String;)Landroid/database/Cursor;                                                                   ,Landroid/database/Cursor;getColumnIndex(Ljava/lang/String;)I                                                                                                         ,Query data from the contact list                                                ,"collection,contact"
/mnt/storage/quark-rules/rules/00159.json ,Landroid/view/accessibility/AccessibilityNodeInfo;findAccessibilityNodeInfosByText(Ljava/lang/String;)Ljava/util/List;                                                                                                             ,Landroid/view/accessibility/AccessibilityNodeInfo;performAction(I)Z                                                                                                  ,Use accessibility service to perform action getting node info by text           ,accessibility service
/mnt/storage/quark-rules/rules/00080.json ,Landroid/os/Bundle;getString(Ljava/lang/String;)Ljava/lang/String;                                                                                                                                                                 ,Landroid/media/MediaRecorder;setOutputFile(Ljava/lang/String;)V                                                                                                      ,Save recorded audio/video to a file                                             ,"record,file"
/mnt/storage/quark-rules/rules/00107.json ,Landroid/telephony/TelephonyManager;getSubscriberId()Ljava/lang/String;                                                                                                                                                            ,Ljava/io/FileOutputStream;write([B)V                                                                                                                                 ,Write the IMSI number into a file                                               ,"collection,telephony,file,command"
/mnt/storage/quark-rules/rules/00171.json ,Landroid/telephony/TelephonyManager;getNetworkOperatorName()Ljava/lang/String;                                                                                                                                                     ,Ljava/lang/String;equals(Ljava/lang/Object;)Z                                                                                                                        ,Compare network operator with a string                                          ,network
/mnt/storage/quark-rules/rules/00160.json ,Landroid/view/accessibility/AccessibilityNodeInfo;findAccessibilityNodeInfosByViewId(Ljava/lang/String;)Ljava/util/List;                                                                                                           ,Landroid/view/accessibility/AccessibilityNodeInfo;performAction(I)Z                                                                                                  ,Use accessibility service to perform action getting node info by View Id        ,accessibility service
/mnt/storage/quark-rules/rules/00120.json ,Landroid/telephony/SmsMessage;getOriginatingAddress()Ljava/lang/String;                                                                                                                                                            ,Ljava/lang/StringBuilder;append(I)Ljava/lang/StringBuilder;                                                                                                          ,Append the sender's address to the string                                       ,"sms,collection"
/mnt/storage/quark-rules/rules/00168.json ,Landroid/view/accessibility/AccessibilityNodeInfo;findAccessibilityNodeInfosByText(Ljava/lang/String;)Ljava/util/List;                                                                                                             ,Landroid/accessibilityservice/AccessibilityService;performGlobalAction(I)Z                                                                                           ,Use accessibility service to perform global action getting node info by text    ,accessibility service
/mnt/storage/quark-rules/rules/00147.json ,Landroid/location/LocationManager;isProviderEnabled(Ljava/lang/String;)Z                                                                                                                                                           ,Landroid/location/Location;getTime()J                                                                                                                                ,Get the time of current location                                                ,"collection,location"
/mnt/storage/quark-rules/rules/00052.json ,Landroid/net/Uri;parse(Ljava/lang/String;)Landroid/net/Uri;                                                                                                                                                                        ,Landroid/content/ContentResolver;delete(Landroid/net/Uri; Ljava/lang/String; [Ljava/lang/String;)I                                                                   ,"Deletes media specified by a content URI(SMS, CALL_LOG, File, etc.)"           ,sms
/mnt/storage/quark-rules/rules/00185.json ,Landroid/hardware/Camera;startPreview()V                                                                                                                                                                                           ,Ljava/lang/Object;<init>()V                                                                                                                                          ,Start capturing camera preview frames to the screen                             ,camera
/mnt/storage/quark-rules/rules/00204.json ,Landroid/media/RingtoneManager;getDefaultUri(I)Landroid/net/Uri;                                                                                                                                                                   ,Landroid/media/RingtoneManager;getRingtone(Landroid/content/Context; Landroid/net/Uri;)Landroid/media/Ringtone;                                                      ,Get the default ringtone                                                        ,collection
/mnt/storage/quark-rules/rules/00131.json ,Landroid/telephony/gsm/GsmCellLocation;getLac()I                                                                                                                                                                                   ,Lorg/json/JSONObject;put(Ljava/lang/String; I)Lorg/json/JSONObject;                                                                                                  ,Get location of the current GSM and put it into JSON                            ,"collection,location"
/mnt/storage/quark-rules/rules/00167.json ,Landroid/accessibilityservice/AccessibilityService;getRootInActiveWindow()Landroid/view/accessibility/AccessibilityNodeInfo;                                                                                                       ,Landroid/view/accessibility/AccessibilityNodeInfo;performAction(I)Z                                                                                                  ,Use accessibility service to perform action getting root in active window       ,accessibility service
/mnt/storage/quark-rules/rules/00128.json ,Landroid/accounts/AccountManager;get(Landroid/content/Context;)Landroid/accounts/AccountManager;                                                                                                                                   ,Landroid/accounts/AccountManager;getAccounts()[Landroid/accounts/Account;                                                                                            ,Query user account information                                                  ,"collection,account"
/mnt/storage/quark-rules/rules/00183.json ,Landroid/hardware/Camera;getParameters()Landroid/hardware/Camera$Parameters;                                                                                                                                                       ,Landroid/hardware/Camera;setParameters(Landroid/hardware/Camera$Parameters;)V                                                                                        ,Get current camera paremeters and change the setting.                           ,camera
/mnt/storage/quark-rules/rules/00083.json ,Landroid/app/Activity;getSystemService(Ljava/lang/String;)Ljava/lang/Object;                                                                                                                                                       ,Landroid/telephony/TelephonyManager;getDeviceId()Ljava/lang/String;                                                                                                  ,Query the IMEI number                                                           ,"collection,telephony"
/mnt/storage/quark-rules/rules/00067.json ,Landroid/content/Context;getSystemService(Ljava/lang/String;)Ljava/lang/Object;                                                                                                                                                    ,Landroid/telephony/TelephonyManager;getSubscriberId()Ljava/lang/String;                                                                                              ,Query the IMSI number                                                           ,collection
/mnt/storage/quark-rules/rules/00153.json ,Ljava/net/HttpURLConnection;getOutputStream()Ljava/io/OutputStream;                                                                                                                                                                ,Ljava/io/DataOutputStream;write([BII)V                                                                                                                               ,Send binary data over HTTP                                                      ,http
/mnt/storage/quark-rules/rules/00191.json ,Landroid/net/Uri;parse(Ljava/lang/String;)Landroid/net/Uri;                                                                                                                                                                        ,Landroid/database/Cursor;getColumnIndex(Ljava/lang/String;)I                                                                                                         ,Get messages in the SMS inbox                                                   ,sms
/mnt/storage/quark-rules/rules/00006.json ,Landroid/media/MediaRecorder;<init>()V                                                                                                                                                                                             ,Ljava/util/Timer;<init>()V                                                                                                                                           ,Scheduling recording task                                                       ,record
/mnt/storage/quark-rules/rules/00154.json ,Ljava/net/InetAddress;getByName(Ljava/lang/String;)Ljava/net/InetAddress;                                                                                                                                                          ,Lcom/esotericsoftware/kryonet/Client;connect(I Ljava/net/InetAddress; I)V                                                                                            ,Connect hostname to TCP or UDP socket using KryoNet                             ,socket
/mnt/storage/quark-rules/rules/00063.json ,Landroid/net/Uri;parse(Ljava/lang/String;)Landroid/net/Uri;                                                                                                                                                                        ,Landroid/content/Intent;<init>(Ljava/lang/String; Landroid/net/Uri;)V                                                                                                ,"Implicit intent(view a web page, make a phone call, etc.)"                     ,control
/mnt/storage/quark-rules/rules/00011.json ,Landroid/net/Uri;parse(Ljava/lang/String;)Landroid/net/Uri;                                                                                                                                                                        ,Landroid/content/ContentResolver;query(Landroid/net/Uri; [Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Ljava/lang/String;)Landroid/database/Cursor;     ,"Query data from URI (SMS, CALLLOGS)"                                           ,"sms,calllog,collection"
/mnt/storage/quark-rules/rules/00099.json ,Landroid/telephony/gsm/GsmCellLocation;getCid()I                                                                                                                                                                                   ,Lorg/json/JSONObject;put(Ljava/lang/String; I)Lorg/json/JSONObject;                                                                                                  ,Get location of the current GSM and put it into JSON                            ,"collection,location"
/mnt/storage/quark-rules/rules/00025.json ,Landroid/content/Intent;getAction()Ljava/lang/String;                                                                                                                                                                              ,Ljava/lang/String;equals(Ljava/lang/Object;)Z                                                                                                                        ,Monitor the general action to be performed                                      ,reflection
/mnt/storage/quark-rules/rules/00002.json ,Landroid/hardware/Camera;open(I)Landroid/hardware/Camera;                                                                                                                                                                          ,Landroid/hardware/Camera;takePicture(Landroid/hardware/Camera$ShutterCallback; Landroid/hardware/Camera$PictureCallback; Landroid/hardware/Camera$PictureCallback;)V ,Open the camera and take picture                                                ,camera
/mnt/storage/quark-rules/rules/00161.json ,Landroid/view/accessibility/AccessibilityNodeInfo;getParent()Landroid/view/accessibility/AccessibilityNodeInfo;                                                                                                                    ,Landroid/view/accessibility/AccessibilityNodeInfo;performAction(I)Z                                                                                                  ,Perfom accessibility service action on accessibility node info                  ,accessibility service
/mnt/storage/quark-rules/rules/00125.json ,Landroid/os/Bundle;getString(Ljava/lang/String;)Ljava/lang/String;                                                                                                                                                                 ,Ljava/io/File;exists()Z                                                                                                                                              ,Check if the given file path exist                                              ,file
/mnt/storage/quark-rules/rules/00053.json ,Landroid/net/Uri;parse(Ljava/lang/String;)Landroid/net/Uri;                                                                                                                                                                        ,Landroid/content/ContentResolver;registerContentObserver(Landroid/net/Uri; Z Landroid/database/ContentObserver;)V                                                    ,"Monitor data identified by a given content URI changes(SMS, MMS, etc.)"        ,sms
/mnt/storage/quark-rules/rules/00141.json ,Ljava/lang/StringBuilder;toString()Ljava/lang/String;                                                                                                                                                                              ,Ljava/lang/ClassLoader;loadClass(Ljava/lang/String;)Ljava/lang/Class;                                                                                                ,Load class from given class name                                                ,reflection
/mnt/storage/quark-rules/rules/00008.json ,Landroid/telephony/SmsManager;sendTextMessage(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/app/PendingIntent; Landroid/app/PendingIntent;)V                                                                   ,Ljava/lang/Boolean;valueOf(Z)Ljava/lang/Boolean;                                                                                                                     ,Check if successfully sending out SMS                                           ,sms
/mnt/storage/quark-rules/rules/00172.json ,Landroid/content/Context;getSystemService(Ljava/lang/String;)Ljava/lang/Object;                                                                                                                                                    ,Landroid/app/admin/DevicePolicyManager;isAdminActive(Landroid/content/ComponentName;)Z                                                                               ,Check Admin permissions to (probably) get them                                  ,admin
/mnt/storage/quark-rules/rules/00047.json ,Ljava/net/Socket;getLocalAddress()Ljava/net/InetAddress;                                                                                                                                                                           ,Ljava/net/InetAddress;getHostAddress()Ljava/lang/String;                                                                                                             ,Query the local IP address                                                      ,"network,collection"
/mnt/storage/quark-rules/rules/00094.json ,Ljava/net/URL;openConnection()Ljava/net/URLConnection;                                                                                                                                                                             ,Ljava/io/InputStream;read([B)I                                                                                                                                       ,Connect to a URL and read data from it                                          ,"command,network"
/mnt/storage/quark-rules/rules/00207.json ,Landroid/view/accessibility/AccessibilityNodeInfo;getViewIdResourceName()Ljava/lang/String;                                                                                                                                        ,Ljava/lang/String;contains(Ljava/lang/CharSequence;)Z                                                                                                                ,Check if the resource name of the view contains the given string                ,accessibility service
/mnt/storage/quark-rules/rules/00050.json ,Landroid/telephony/SmsMessage;createFromPdu([B)Landroid/telephony/SmsMessage;                                                                                                                                                      ,Landroid/telephony/SmsMessage;getTimestampMillis()J                                                                                                                  ,Query the SMS service centre timestamp                                          ,"sms,collection"
/mnt/storage/quark-rules/rules/00073.json ,Landroid/telephony/SubscriptionManager;getActiveSubscriptionInfoList()Ljava/util/List;                                                                                                                                             ,Ljava/io/FileOutputStream;write([B)V                                                                                                                                 ,Write the SIM card information into a file                                      ,"collection,telephony,file"
/mnt/storage/quark-rules/rules/00197.json ,Landroid/media/MediaRecorder;setAudioEncoder(I)V                                                                                                                                                                                   ,Landroid/media/MediaRecorder;prepare()V                                                                                                                              ,Set the audio encoder and initialize the recorder                               ,record
/mnt/storage/quark-rules/rules/00015.json ,Ljava/io/BufferedInputStream;read([B I I)I                                                                                                                                                                                         ,Lorg/json/JSONObject;put(Ljava/lang/String; Ljava/lang/Object;)Lorg/json/JSONObject;                                                                                 ,Put buffer stream (data) to JSON object                                         ,file
/mnt/storage/quark-rules/rules/00150.json ,Landroid/telephony/TelephonyManager;getSubscriberId()Ljava/lang/String;                                                                                                                                                            ,Ljava/net/URL;openConnection()Ljava/net/URLConnection;                                                                                                               ,Send IMSI over Internet                                                         ,phone
/mnt/storage/quark-rules/rules/00166.json ,Landroid/telephony/SmsMessage;getMessageBody()Ljava/lang/String;                                                                                                                                                                   ,Ljava/util/regex/Pattern;matcher(Ljava/lang/String)Ljava/util/regex/Matcher;                                                                                         ,Get SMS message body and retrieve a string from it (possibly PIN / mTAN)        ,"sms,pin"
/mnt/storage/quark-rules/rules/00096.json ,Ljava/net/URL;openConnection()Ljava/net/URLConnection;                                                                                                                                                                             ,Ljava/net/HttpURLConnection;setRequestMethod(Ljava/lang/String;)V                                                                                                    ,Connect to a URL and set request method                                         ,"command,network"
/mnt/storage/quark-rules/rules/00210.json ,Landroid/media/ImageReader;acquireLatestImage()Landroid/media/Image;                                                                                                                                                               ,Landroid/graphics/Bitmap;copyPixelsFromBuffer(Ljava/nio/Buffer;)V                                                                                                    ,Copy pixels from the latest rendered image into a Bitmap                        ,collection
/mnt/storage/quark-rules/rules/00142.json ,Ljava/util/Calendar;get(I)I                                                                                                                                                                                                        ,Ljava/lang/StringBuilder;append(Ljava/lang/String;)Ljava/lang/StringBuilder;                                                                                         ,Get calendar information                                                        ,"collection,calendar"
/mnt/storage/quark-rules/rules/00105.json ,Landroid/telephony/SmsMessage;getOriginatingAddress()Ljava/lang/String;                                                                                                                                                            ,Ljava/lang/StringBuilder;append(Ljava/lang/String;)Ljava/lang/StringBuilder;                                                                                         ,Append the sender's address to the string                                       ,"collection,sms"
/mnt/storage/quark-rules/rules/00018.json ,Lorg/json/JSONObject;<init>()V                                                                                                                                                                                                     ,Landroid/location/LocationManager;requestLocationUpdates(Ljava/lang/String; J F Landroid/location/LocationListener;)V                                                ,Get JSON object prepared and fill in location info                              ,"location,collection"
/mnt/storage/quark-rules/rules/00061.json ,Landroid/net/wifi/WifiManager;getConnectionInfo()Landroid/net/wifi/WifiInfo;                                                                                                                                                       ,Ljava/lang/Integer;valueOf(I)Ljava/lang/Integer;                                                                                                                     ,Return dynamic information about the current Wi-Fi connection                   ,"wifi,collection"
/mnt/storage/quark-rules/rules/00060.json ,Landroid/telephony/TelephonyManager;getNetworkOperatorName()Ljava/lang/String;                                                                                                                                                     ,Ljava/lang/Integer;valueOf(I)Ljava/lang/Integer;                                                                                                                     ,Query the network operator name                                                 ,"network,collection"
/mnt/storage/quark-rules/rules/00205.json ,Landroid/accessibilityservice/GestureDescription$Builder;addStroke(Landroid/accessibilityservice/GestureDescription$StrokeDescription;)Landroid/accessibilityservice/GestureDescription$Builder;                                   ,Landroid/accessibilityservice/GestureDescription$Builder;build()Landroid/accessibilityservice/GestureDescription;                                                    ,Simulate a touch gesture on the device screen                                   ,"accessibility service,control"
/mnt/storage/quark-rules/rules/00179.json ,Landroid/telephony/TelephonyManagergetCellLocation()Landroid/telephony/CellLocation;                                                                                                                                               ,Landroid/telephony/SmsManagersendTextMessage(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/app/PendingIntent; Landroid/app/PendingIntent;)V      ,Send Location via SMS                                                           ,"location,collection"
/mnt/storage/quark-rules/rules/00157.json ,Ljava/lang/Class;getConstructor([Ljava/lang/Class;)Ljava/lang/reflect/Constructor;                                                                                                                                                 ,Ljava/lang/reflect/Constructor;newInstance([Ljava/lang/Object;)Ljava/lang/Object;                                                                                    ,"Instantiate new object using reflection, possibly used for dexClassLoader "    ,"reflection,dexClassLoader"
